name,rating,date,sentiment,Scores,comment
Adrian,5.0 out of 5 stars,"Reviewed in the United States on February 15, 2024",Positive,"{'Negative': 0.007851655, 'Neutral': 0.036359496, 'Positive': 0.95578885}","PLEEEEEASE people, stop complaining about the display and things like that, the display is just AMAZING!!By looking at the low rating of the item, I was really impatient to recieve my device and finally write the review about it. I pre-ordered the S24 Ultra in Violet color, 512Gb version, and want to note that everything was fair as expected - I got the 512Gb version at the price of 256Gb one, and also 200$ Amazon Gift, which is a non-redeemable gift that works as a single time -200$ to your purchases FROM AMAZON, that you can use within approximately 5 or 6 months.Next about the device - it's really beautiful! I really love everything about it, the size, the flat screen, the back cover and cameras - design-wise this is a beauty.It has lot's of nice and fun features to play with, it's my second day of usage and I still have AI features to test, camera capabilities to check out, etc. And the S Pen - this is my first ever Samsung phone, and I really got used to it, and to be honest - it's sometimes a lot more comfortable to use the S Pen instead of your fingers. Some things in life are really designed to be accomplished with a pen and paper, this phone covers that need!The sound and speakers are veeery loud, I mean my whole office can hear my incoming notifications lol, and the quality of music listening, video watching, etc. - really nice.I still have to find out all of the capabilities of the camera, this is a separate big topic, but so far I can confirm what lot's of reviewers have already talked about - the normal photo taking is great, selfies look really amazing for a front camera, the zoom is fantastic with really good details, night mode results in bright as day photos (although a bit noisy) and video shooting is also nice with different mods.The OS is very nice and really sophisticated to say the least, I mean you can connect the device to a monitor, mouse and keyboard via some 5-in-1 Anker for example, and here you just got yourself a laptop with the size of a phone. OneUI is really the most rich software I've used so far, and before using it I was skeptical if I'd like it or not, but I'm really getting used to it, and the features like multitasking in a true desktop way on the phone - this is something else (not the Dex, just phone multi window usage, that's AWESOME).The battery is nice, maybe I expected something more by viewing some reviews with almost 20 hours of screen time or so, but really it's fine for a day of usage with QHD resolution, adaptive brightness, and app and AI usage during the whole day.The only disadvantages I want to mention are the price tag that is high (let's be honest) and the box contents, I mean why copy bad stuff from Apple and not include at least a small charging brick in the box? This is really uncool, especially within that price.I started with the display, but want to finish talking about it as well, it's HUGE, and I really like it, the corners are sharp-ended, but that gives you the advantage of viewing a non-cropped-out content, the resolution, the brightness, refresh rate... The display is a killer really, I really don't get the people that complain about the color, or perform some tests on the device, etc.... no need.Overall I'm really happy with my purchase, this is a great phone I can recommend to any software and hardware enthusiasts like me, and maybe to iPhone users as well, to come out of the box and see that there are other great phones out there in the world that can totally kill any iPhone with all the features and stuff you get."
Marc,1.0 out of 5 stars,"Reviewed in the United States on February 8, 2024",Negative,"{'Negative': 0.7784287, 'Neutral': 0.1925503, 'Positive': 0.029021047}","I've been using my Samsung Galaxy S24 Ultra for a couple of days now and while it's a decent phone, it has its issues. The screen is washed out like they say, but that might be resolved in an OS update. Mine has a grainy screen like the rest of Galaxy S24 Ultra owners have been complaining about, so that's one reason to wait before preordering the next Galaxy smartphone. I didn't see the banding issue and I don't believe I have the camera issue, but I haven't played much with the camera to tell. If you're upgrading from the S23U, might be best to keep it and wait another year.Besides the phone itself, I've been super frustrated from my experience preordering from Amazon.The preorder page had a deal where you'd get the 512GB storage upgrade + $200 Amazon gift card sent via email after the phone was delivered. I got the storage upgrade, but I never received the $200 Amazon gift card they promised. Why I think this is a scam is that Amazon switched the preorder deal with the launch deal on the Amazon order page, so now when you ask Amazon Support about it, they can't help because the info is no longer on the Amazon site. Getting to this conclusion was a waste of time because I've spent hours talking to multiple Amazon employees (all useless & with different answers) and never received a reply from the email I received from their Care team showing proof of the many popular news outlets advertising the pre order deal (Google CNET, Phone Arena, ZDNET, The Verge, CBS News, Digital Trends, etc and you can find them talking about the preorder deal on Amazon for the phone).So yea, don't preorder because Amazon doesn't honor their end on deals and you might get a faulty phone that's not covered in influencer reviews (wait for the real reviews from real customers)"
Kristian Sordo,5.0 out of 5 stars,"Reviewed in the United States on February 13, 2024",Negative,"{'Negative': 0.80703396, 'Neutral': 0.1459219, 'Positive': 0.0470441}","The phone lives up to its hype, not much more to add. Haven't played around with its AI features yet. Photography is superb! The screen colors are a bit dull, but that's a moot point since a fix will be released soon.My only gripe is with Amazon. I never received the $ 200 promotional credit advertised for pre-ordering the phone on its site. Chat support associates are clueless, stating such an offer never existed, while e-mails to customer service go unanswered. Really disappointed"
M,5.0 out of 5 stars,"Reviewed in the United States on February 5, 2024",Positive,"{'Negative': 0.022916842, 'Neutral': 0.11507469, 'Positive': 0.8620085}","After reading the reviews, I thought I'd be returning this phone. I tend to keep my phones for about 5 years so it has to be a great one.I wasn't disappointed. Long battery. Good cameras. The front face camera is only OK. But the sound is awesome. Nice and loud. I haven't used ear buds with it yet so that's to be determined. The color of the phone it matte.The $200 credit was applied immediately. I can't see a balance on my account, but if you go to purchase something shipped by Amazon and also sold by Amazon, checkout and you will see the your credit on your total. I used the payment plan option and still received my credit after shipment.If something goes wrong with the s24 ultra, I will update:)"
M. A.,2.0 out of 5 stars,"Reviewed in the United States on February 2, 2024",Negative,"{'Negative': 0.95412797, 'Neutral': 0.040518764, 'Positive': 0.005353336}","At first I thought that it was just me, but it isn't.  It's everyone.  The world's current most expensive flagship phone actually shipped with a glitched out, awful looking  bland washed out screen that is cringe inducing when looking at it.  If you're expecting the beauty of the previous S2X phone series, you won't get it here, this screen is BAD and shipped effectively broken and not working properly to every single customer.  Honestly, everyone should be refunded and if there's a class action lawsuit, I'm definitely joining it.  All of the colors look completely washed out and almost pastel, it's just . . . BAD!  It reminds me of installing a wrong video driver in the 90's or if you're using an unsupported color/resolution mode.  Aside from the color just being horrendous and completely inaccurate, text looks smoothed and slightly blurry making it off-putting to read.  Looking at the S24 Ultra beside of the S22 Ultra is like night and day, no way in the world would I recommend someone to buy a S24 over the S22 or S23.  The S24 looks like garbage.  How in the world did they justify shipping it like this?  How in the world are they getting away with this?!  Massive respect and faith has been lost in Samsung as a smartphone leader in my eyes due to this.  Also, it's extremely suspicious that NO tech reviewers mentioned this, as if they were told not to or something.  I smell a lawsuit on the horizon . . .Shame on Samsung, big time . . .  I've been a loyal customer since the Galaxy III, but I think that this debacle has ended that long run that I was very happy about.  I feel betrayed and duped.DO NOT BUY THIS PHONE."
Suzi,5.0 out of 5 stars,"Reviewed in the United States on February 5, 2024",Positive,"{'Negative': 0.001949209, 'Neutral': 0.0071925637, 'Positive': 0.99085826}","As a Samsung user, this got to be the BEST upgrade ever.I have the S20+ for about 4 years now and I finally decided to upgrade my phone to the S24+ and well I have nothing but POSITIVE feedbacks.Everything about this phone is a dream come true. The size is perfect and the quality is AMAZING 👏.I have been using it for at least 24hrs and it's been so good.✅️ Battery✅️ Photos/Pictures✅️ AI Feature (one of the best)✅️ Design of phone (beautiful creative)GET IT BEFORE YOU REGRET IT!!!"
Tabatha W.,3.0 out of 5 stars,"Reviewed in the United States on February 6, 2024",Negative,"{'Negative': 0.41145548, 'Neutral': 0.31659144, 'Positive': 0.2719531}","I haven't purchased a new phone in quite a while so I was pretty excited to get the latest and greatest to hold on to for the better part of the next decade.The phone seems very high quality and premium, but one problem for me.The colors on the screen do not seem to pop. They are very muted. They look almost as good as a phone I purchased almost 7 years ago. The resolution is great, but the colors, just don't seem right. Other than that I can't find anything to complain about.  I hope this is just a software issue that just needs an update or I will feel a bit ripped off for the price."
Michelle,1.0 out of 5 stars,"Reviewed in the United States on February 3, 2024",Negative,"{'Negative': 0.56216145, 'Neutral': 0.3084463, 'Positive': 0.12939231}","The bad:Screen is dull and low contrast regardless of settings. (This is a universally known issue at this point)The screen colors are extremely cool/blueReception is middling (still a big issue as of 2/14/24)Camera white balance is straight green/blueWide angle camera is not as wide as my Note 20 and no better qualityWhen on speakerphone, the top speaker cuts out if you put it up to your ear.Generally jagged user experience due to a bunch of Samsung crap that cannot be removed.Bloody expensive for something that's delivered in this state.The meh:Batt life is good (not great, just good) only if run in 60hz and low power mode.In low power mode at 120hz the batt life is merely acceptable.All compared to my 3ye old note 20 in low power 60hz mode which is just below acceptable.The good:The antireflective coating on the screen is genuinely amazingThe 120hz on the screen is uber smooth but unfortunately hits the battThe rest is fine; not different from my Note 20There's a thread on the Samsung forum that's thousands of posts long about these same issues I've brought up here.Hopefully all of the bad can be fixed with a software update but currently the phone is  borderline unusable due to the extremely blue camera(s) white balance and lacking signal strength. I cannot understand how after ALL THIS TIME, Samsung seemingly doesn't test their flagship phone before manufacturing and shipping.As for the cameras, they're okay if the white balance wasn't green/blue. My Note 20 from 3yrs ago takes nicer looking pictures but it's honestly difficult to tell if the cameras are any good because it's just so green/blue.I don't know what to say about all the tech reviewers out there raving about this phone. Either they were given a completely different phone or they're all paid off. I wouldn't recommend this phone to anyone until Samsung addresses the ridiculous issues.I absolutely hate Apple due to their requirement for you to live in their ecosystem but this will likely be my last Android if Samsung or someone else can't get their act together on such an expensive product.On a very very positive note, the antireflective screen on this phone is genuinely incredible. It's the single biggest upgrade imaginable. Unfortunately putting any screen protector ruins that feature so I'm just going to use it without a screen protector. The phone is worth buying simply for the antireflection. It's THAT BIG of a difference. I cannot understand why this isn't getting more attention. The darn signal strength issue is the single biggest deal breaker and so unfortunate and annoying. It's about ~20% worse than my 3yr old Note 20."
Knight Cat,4.0 out of 5 stars,"Reviewed in the United States on February 2, 2024",Negative,"{'Negative': 0.46446168, 'Neutral': 0.37936693, 'Positive': 0.15617135}",Specs wise it's exactly the same as the S24 ultra which is what I wanted. I'm personally not interested in all the cameras or stylus.However I'm not impressed with the 6.2 size and the iPhone-ish block looks of the body.Ironically I feel like this phone has less features than the One Plus Nord that has thumb unlock on the power button and so many UI choices not to mention the larger screen size for half the price!I also wasn't to impressed with the Samsung bloatware that can't be uninstalled unlike other unlocked phones.Over all it's an okay phone if you want something powerful and small.I just wish Samsung offered a larger sized phone without all the cameras and what not that someone like me that doesn't want or need.
WolvenTheWolf,5.0 out of 5 stars,"Reviewed in the United States on February 8, 2024",Positive,"{'Negative': 0.10225045, 'Neutral': 0.29860783, 'Positive': 0.5991417}","So I switched to this from a fold 3 (switched cuz of work environment) and I really like it, I've had little to no problems so farI've seen some complaints about the 150$ promotion amazon is having it does give it to u it doesn't apply it to ur account like a gift card tho, u have to buy something made and shipped from Amazon and when u go to check out it'll add a promotion to ur order filling what ever the cost was until u use all 150$Here the pros and cons I've noticedPros -Amazing battery life lasted me from 4:45am to  9pm with 15% remaining.Google image search biuld in to the phone, I love itCamera is way better then the fold but given the fold doesn't really focus on camera qualityCons -Here's the big oof with this phone, I haven't read too much in to it or anything but as to what I'm aware, 32bit system is getting dropped and newer phones are gonna now only support 64bit operating systems so u might loose some of the apps you had previously ( I lost around 12 apps/games ) and that's not saying it won't be fixed later on the dev could add 64bit to the app.Other then that I have no other complaints about it."
